date_c,noisy_c_values,dayofweek
2,52,4
3,29,5
4,18,6
5,9,7
6,28,1
7,32,2
8,42,3
9,33,4
10,34,5
11,22,6
12,4,7
13,27,1
14,19,2
15,21,3
16,31,4
17,25,5
18,12,6
19,11,7
20,27,1
21,24,2
22,29,3
23,29,4
24,34,5
25,12,6
26,8,7
27,36,1
28,53,2
29,58,3
30,80,4
31,92,5
32,47,6
33,19,7
34,78,1
35,85,2
36,96,3
37,117,4
38,153,5
39,60,6
40,54,7
41,163,1
42,173,2
43,177,3
44,215,4
45,221,5
46,113,6
47,68,7
48,239,1
49,203,2
50,352,3
51,216,4
52,336,5
53,525,6
54,139,7
55,342,1
56,359,2
57,486,3
58,459,4
59,360,5
60,227,6
61,161,7
62,264,1
63,304,2
64,443,3
65,385,4
66,278,5
67,132,6
68,188,7
69,262,1
70,322,2
71,280,3
72,216,4
73,247,5
74,126,6
75,86,7
76,216,1
77,285,2
78,234,3
79,200,4
80,167,5
81,162,6
82,80,7
83,234,1
84,226,2
85,242,3
86,205,4
87,231,5
88,154,6
89,105,7
90,272,1
91,218,2
92,268,3
93,217,4
94,242,5
95,141,6
96,135,7
97,263,1
98,275,2
99,221,3
100,279,4
101,245,5
102,136,6
103,132,7
104,253,1
105,285,2
106,315,3
107,240,4
108,265,5
109,154,6
110,150,7
111,302,1
112,269,2
113,265,3
114,221,4
115,121,5
116,150,6
117,155,7
118,228,1
119,262,2
120,243,3
121,205,4
122,100,5
123,165,6
124,146,7
125,269,1
126,215,2
127,166,3
128,143,4
129,161,5
130,94,6
131,82,7
132,171,1
133,111,2
134,113,3
135,91,4
136,96,5
137,86,6
138,60,7
139,140,1
140,94,2
